vic_erp, lga_name11, lga_code_2011, c_total, e_total, d_total, b_total, a_total, ref_period, grand_tot, lga_erp, f_total
5937481,"Wyndham (C)",27260,549,1356,798,9232,1829,2015,13816,209847,52
5937481,"Yarra (C)",27350,961,894,1126,8385,1232,2015,12629,89151,31
5937481,"Yarra Ranges (S)",27450,497,898,556,4222,1227,2015,7438,150661,38
5937481,"Yarriambiack (S)",27630,19,42,77,201,88,2015,447,6759,20
6053355,"Alpine (S)",20110,37,47,76,188,105,2016,456,11985,3
6053355,"Ararat (RC)",20260,142,280,153,463,363,2016,1405,11299,4
6053355,"Ballarat (C)",20570,507,1656,676,7520,1823,2016,12214,104344,32
6053355,"Banyule (C)",20660,461,1465,416,6083,1229,2016,9667,127430,13
6053355,"Bass Coast (S)",20740,124,555,212,1343,607,2016,2851,33581,10
6053355,"Baw Baw (S)",20830,428,614,284,1909,788,2016,4062,48378,39
6053355,"Bayside (C)",20910,219,450,294,3694,613,2016,5284,101852,14
6053355,"Benalla (RC)",21010,69,321,71,766,335,2016,1575,13715,13
6053355,"Boroondara (C)",21110,349,734,322,6451,808,2016,8675,177915,11
6053355,"Brimbank (C)",21180,1529,2584,1221,11577,2555,2016,19492,200144,26
6053355,"Buloke (S)",21270,19,13,9,122,57,2016,223,5966,3
6053355,"Campaspe (S)",21370,163,693,318,1750,765,2016,3708,36955,19
6053355,"Cardinia (S)",21450,374,1523,387,4082,1155,2016,7541,95604,20
6053355,"Casey (C)",21610,1114,3214,944,14089,3992,2016,23385,300169,32
6053355,"Central Goldfields (S)",21670,59,413,136,644,278,2016,1532,12729,2
6053355,"Colac-Otway (S)",21750,141,251,152,925,325,2016,1814,20676,20
6053355,"Corangamite (S)",21830,40,101,61,502,161,2016,867,15961,2
6053355,"Darebin (C)",21890,910,1294,751,11742,1591,2016,16319,153638,31
6053355,"East Gippsland (S)",22110,273,763,387,1957,865,2016,4263,44611,18
6053355,"Frankston (C)",22170,1157,2940,1301,8601,2247,2016,16274,137554,28
6053355,"Gannawarra (S)",22250,48,122,61,228,116,2016,578,9771,3
6053355,"Golden Plains (S)",22490,26,62,23,509,105,2016,736,21714,11
6053355,"Greater Bendigo (C)",22620,489,2221,775,5148,1559,2016,10210,110497,18
6053355,"Greater Dandenong (C)",22670,1344,3083,1540,11121,3248,2016,20392,155913,56
6053355,"Greater Geelong (C)",22750,924,2583,1383,16030,2759,2016,23725,231487,46
6053355,"Greater Shepparton (C)",22830,461,1503,621,4155,1437,2016,8193,64803,16
6053355,"Hepburn (S)",22910,16,90,22,560,134,2016,825,15175,3
6053355,"Hindmarsh (S)",22980,16,68,15,151,99,2016,349,5497,0
