lga_code,lga_name,c_total,e_total,d_total,b_total,a_total,ref_period,offence_total,lga_erp,f_total
22310,Glen Eira (C),490,863,464,4555,910,2016,7304,148050,22
22410,Glenelg (S),88,246,126,858,294,2016,1616,19283,4
23810,Latrobe (C),591,3121,1116,6485,2832,2016,14168,73903,23
23940,Loddon (S),49,74,27,242,126,2016,519,7399,1
24130,Macedon Ranges (S),202,588,212,1153,432,2016,2607,46272,20
24210,Manningham (C),195,335,165,3346,744,2016,4793,121184,8
24250,Mansfield (S),46,63,89,346,97,2016,663,8392,22
24330,Maribyrnong (C),592,535,601,6455,947,2016,9168,86877,38
24410,Maroondah (C),625,1595,645,4548,1172,2016,8614,112971,29
24600,Melbourne (C),1938,3986,4074,21480,4459,2016,36087,137340,150
24650,Melton (S),638,1585,799,7565,1835,2016,12446,136539,24
24780,Mildura (RC),386,1018,616,3294,1197,2016,6522,53687,11
24850,Mitchell (S),250,803,317,2080,948,2016,4423,40732,25
24900,Moira (S),175,200,175,797,365,2016,1716,29155,4
24970,Monash (C),493,986,454,9170,1397,2016,12519,189236,19
25060,Moonee Valley (C),554,956,516,6561,1231,2016,9836,121382,18
25150,Moorabool (S),118,382,127,1420,425,2016,2482,32420,10
25250,Moreland (C),708,1499,604,10481,1803,2016,15143,170178,48
25340,Mornington Peninsula (S),700,1883,1197,6437,1728,2016,11966,157787,21
25430,Mount Alexander (S),72,281,123,687,339,2016,1508,18360,6
25490,Moyne (S),85,228,100,357,291,2016,1062,16503,1
25620,Murrindindi (S),29,49,78,376,174,2016,714,13713,8
25710,Nillumbik (S),97,357,90,1959,393,2016,2918,63090,22
25810,Northern Grampians (S),114,268,160,478,261,2016,1288,11657,7
25900,Port Phillip (C),805,960,945,8886,1529,2016,13179,108049,54
25990,Pyrenees (S),22,99,31,264,111,2016,529,6902,2
26080,Queenscliffe (B),1,3,4,99,6,2016,114,3035,1
26170,South Gippsland (S),78,310,85,685,340,2016,1504,28112,6
26260,Southern Grampians (S),119,265,134,516,279,2016,1319,15869,6
26350,Stonnington (C),722,657,741,8248,1099,2016,11482,112119,15
26430,Strathbogie (S),31,76,23,328,122,2016,594,9938,14
26490,Surf Coast (S),36,116,63,1002,201,2016,1419,29337,1
26610,Swan Hill (RC),138,441,261,858,444,2016,2159,20679,17
26670,Towong (S),15,28,45,118,67,2016,278,5740,5
26700,Wangaratta (RC),188,419,386,1060,481,2016,2590,27410,56
26730,Warrnambool (C),101,428,249,1299,436,2016,2520,33795,7
26810,Wellington (S),282,892,388,2026,1156,2016,4757,42467,13
26890,West Wimmera (S),16,19,16,64,52,2016,167,3933,0
26980,Whitehorse (C),262,856,314,5161,1118,2016,7727,168949,16
27070,Whittlesea (C),948,1878,694,10742,2194,2016,16481,200894,25
27170,Wodonga (RC),213,515,218,1759,691,2016,3402,39439,6
27260,Wyndham (C),667,2092,739,10186,2074,2016,15784,218553,26
27350,Yarra (C),879,1097,966,9934,1374,2016,14281,92225,31
27450,Yarra Ranges (S),686,1259,684,4725,1482,2016,8862,150939,26
27630,Yarriambiack (S),18,67,47,211,127,2016,473,6674,3
